Record Id,Identification,Sub Category
NohNk4se,Cabinet scraper,FOFovhzV
Sbd5rEfQ,Oil/ filler trowel,FOFovhzV
NpTwTPW5,Nail set and sizes,FOFovhzV
OGHVrhd5,Dewalt sanding light,FOFovhzV
eDlQzR3b,Block sander,FOFovhzV
sKiQKEEn,Corner protectors,FOFovhzV
8VdyWi2f,220 cord,FOFovhzV
hXkpYs3X,220 sub panel,ATalWlXX
jCNME8n5,Edger/ buffer cord 15 amp twist lock,ATalWlXX
fCmWRJAi,Booster box,ATalWlXX
AtKjeOUU,Standard edger,ATalWlXX
Y7E3k0sm,Toe kick edger,KAiB3O7o
5t5T6mDG,Belt sander,KAiB3O7o
zZTtX6nZ,"Planetary sander ""power drive""",KAiB3O7o
xV0RoPhw,Buffer,KAiB3O7o
Zzx9GF1x,Buffer driver/clutch plate,KAiB3O7o
LV3Nimtq,"Orbital sander ""air vantage/ mirka""",KAiB3O7o
qizFToKz,Rotex sander,KAiB3O7o
tC3ChNFu,Main dust colletion system,KAiB3O7o
jcuy6dUP,"Ceno dual motor vac ""r2d2""",5hcRbvnh
Zk66T1pv,Back pack vac and wand,5hcRbvnh
Ha9xhIL6,Festool vac,5hcRbvnh
bH4ZckU1,Dirt dragon,5hcRbvnh
dpznPEQm,Karcher dual blade,Lhkw9q4k
hdzkZqOm,Accesory set for dirt dragon,Lhkw9q4k
hSfhg1o6,Bona diamond plates for powerdrive,Lhkw9q4k
moca7BSp,Air scrubber,Lhkw9q4k
YuqA7XG6,Air sled,Lhkw9q4k
0RO7YDgQ,Air mover,Lhkw9q4k
5XEZTRjJ,Zepher,Lhkw9q4k
IznXSRs4,Zip walls,Lhkw9q4k
FFVg7ivf,36 grit sandpaper,Lhkw9q4k
XOO8htJL,60 grit sandpaper,E0gQ4NAB
w96BsCDr,80 grit sandpaper,E0gQ4NAB
TScPvu36,100 grit sandpaper,E0gQ4NAB
Uua2lO6j,120 grit sandpaper,E0gQ4NAB
mOBD9mKi,180 grit sandpaper,E0gQ4NAB
bUgzqRSy,Clutch plate,E0gQ4NAB
RUH860C3,Red pad,hMnJkTGJ
IkDBKlil,White pad,hMnJkTGJ
qAXGZdys,White driver pads,hMnJkTGJ
wudpq2O5,Marron pad,hMnJkTGJ
hFt2C7qM,Sattilite plate,hMnJkTGJ
CGOdNPLR,"Diamabrush plate ""concrete""",hMnJkTGJ
Nw3twD0Q,"Diamabrush plate ""wood""",hMnJkTGJ
hw1r01Xw,Standard edger disc,hMnJkTGJ
rzit6fWD,Toe kick edger disc,ndvDkZZQ
IIsfDKLg,Belts,ndvDkZZQ
EPMhiASz,Planetary sander discs,ndvDkZZQ
sVGNFL3K,"Diamond plates for planetary sander ""powerdive""",ndvDkZZQ
USa0BhBu,"Steel plates for planetary sander ""powerdrive""",ndvDkZZQ
s8ZSwnUk,Roll sand paper for buffer,ndvDkZZQ
Up91cIbi,Orbital disc,ndvDkZZQ
JYVHVQTC,"Finish roller cover ""black end""",ndvDkZZQ
Tu2XGuwS,"Sealer roller cover ""green end""",jWRG4hWd
nXLsEVux,Finish bucket/bags,jWRG4hWd
GWfjFa1A,T-bar,jWRG4hWd
D4mP4ESR,Finish pole,jWRG4hWd
W1MvmLW6,Tack stick,jWRG4hWd
IMajQhtr,"Cut in pads"" and handel""",jWRG4hWd
1vx7l1Kg,Painters plastic,jWRG4hWd
qNOdVakm,Delicate release tape,LjRTUptc
dE70MYnF,Painters tape,LjRTUptc
nTzW3RhR,Pro techt finished floor guard,LjRTUptc
7JVOY7NN,Capetsaver,LjRTUptc
pRHto7qj,Corner protecters,LjRTUptc
9pHiio1U,Zip wall,LjRTUptc
3K9gKeR2,6 mill plastic for making doors and rooms,LjRTUptc
4QQqcI95,Shoe,LjRTUptc
VpW3WQOM,Quarter round,6mD67q2x
7qJZPVNN,Spline,6mD67q2x
QXvbldjb,3 and a half inch bullnose,6mD67q2x
bA49bCjI,5 inch bullnose,6mD67q2x
8MuSUN40,Reducer,6mD67q2x
Y5G0FEJ9,Cove moulding,6mD67q2x
NCt34O3Y,T moulding,6mD67q2x
9tbsk6FW,Base moulding,6mD67q2x
T7YRoLOq,4 by 10 inch flush mount vent,6mD67q2x
CofBLXh0,4 by 12 inch flush mount vent,6mD67q2x
xCWMl6eI,Egg crate vent,6mD67q2x
2DBnML5T,Red oak,6mD67q2x
9Sr5phWt,White oak,xiPwnrOZ
hfskj0OH,Maple,xiPwnrOZ
uuzoos64,Hickory,xiPwnrOZ
QHlYX1bd,Jatoba,xiPwnrOZ
KgnNyZic,Walnut,xiPwnrOZ
5pAEZVQv,Ash,xiPwnrOZ
b1pNqaH1,Beach,xiPwnrOZ
qhmrSv2U,Pine,xiPwnrOZ
ok6a8DGM,Scraper,xiPwnrOZ