Record Id,Category,Sub Category,Skill,isRequired
RBXTZIUF,8JYsNyZX,paZTuwn4,Demonstrates how to lay solid surface protection,TRUE
A870US6E,8JYsNyZX,paZTuwn4,Demonstrates how to lay carpetsaver,TRUE
GW7OEZVB,8JYsNyZX,paZTuwn4,Can explain why corner protectors are used and demonstrates what corners to use them on,TRUE
MBHOEHEZ,8JYsNyZX,paZTuwn4,can list 3 types of tape used and when to use them,TRUE
9W0SVJ5S,8JYsNyZX,paZTuwn4,Demonstrates set up and crerate a zip wall door,TRUE
MYZQUO08,8JYsNyZX,paZTuwn4,Demonstrates how to properly seal tape to a surface,TRUE
OWB5KR3C,8JYsNyZX,paZTuwn4,Can explain why not to unhook or hook up a gas/ water line,TRUE
TMK7DI6D,8JYsNyZX,paZTuwn4,Can explain how to protect surfaces when moving a fridge to a new location,TRUE
EXIRAS77,8JYsNyZX,jefE624Q,Can list 5 items inspected during a QC for cleanliness,TRUE
OH9A77OY,8JYsNyZX,jefE624Q,Can explain where dust bags should be stored and why,TRUE
B3W7QGKN,8JYsNyZX,jefE624Q,Can explain where stain rags/ carpet pads should be kept and why,TRUE
MZACQ3OS,8JYsNyZX,jefE624Q,Can explain why all nails must be removed from trim and walls,TRUE
0COEV2GU,8JYsNyZX,jefE624Q,Can explain expectations of keeping equipment clean,TRUE
M0ZVVC5U,y6ZXyYam,218pXetn,Demonstrates checking the vacuum bag before starting to use and can explain when to replace paper bag,TRUE
J0R7WH2N,y6ZXyYam,218pXetn,Can explain why you should check the felt head for softness,TRUE
Y4KTCYCA,8JYsNyZX,7fqhRGZj,Demonstrates how to overlap each path of head,TRUE
QAMW2L7O,8JYsNyZX,7fqhRGZj,"Demonstrates how to work across the room ""short passes""",TRUE
89NGTP8P,8JYsNyZX,7fqhRGZj,Demonstrates how to vacume all edges,TRUE
K6DY7D6V,8JYsNyZX,HiwY3UPz,Can give an examples of when to wet tack vs dry tack,TRUE
6Q4PO6M0,8JYsNyZX,HiwY3UPz,Demonstrates how to overlap,TRUE
K4903IL3,8JYsNyZX,HiwY3UPz,Demonstrates how to not lift and turn while tacking,TRUE
W7R20N33,8JYsNyZX,HiwY3UPz,Demonstrate how wet the microfiber head should be to tack,TRUE
QA94FONM,8JYsNyZX,bIn96jPx,"Can explain general movement through floor ""where to go next""",TRUE
HIHRRQ6P,8JYsNyZX,bIn96jPx,Understands how far ahead you can get from roller,TRUE
53SSDRLT,8JYsNyZX,bIn96jPx,Demonstrates applying the proper amount of material,TRUE
3M89XSWY,8JYsNyZX,bIn96jPx,"Demonstrates finishing top, bottom and luvers of vents",TRUE
B2O3NBKW,8JYsNyZX,bIn96jPx,Demonstrates finishing nosings and steps with no drips,TRUE
SXCLV718,8JYsNyZX,bIn96jPx,Can identify dry spots and knows to look for them  for the roller,TRUE
MAUTDJ6A,8JYsNyZX,bIn96jPx,Demonstrates how to clean the pad properly,TRUE
6XOCVPQI,8JYsNyZX,IVNvFqkz,Can explain what the importance of using different roller covers for sealer and finish,TRUE
QD8T5P0R,8JYsNyZX,IVNvFqkz,Demonstrates how to properly load the roller with material,TRUE
4AI0OWNX,8JYsNyZX,IVNvFqkz,Demonstrates pouring a proper amount of material on the floor,TRUE
4K78720H,8JYsNyZX,IVNvFqkz,Demonstrates how to roll out of a bucket with a bag,TRUE
FUS3ERGM,8JYsNyZX,IVNvFqkz,"Can explain the general movement through floor ""where to go next""",TRUE
1XHGR41P,8JYsNyZX,IVNvFqkz,Demonstrates how to feather properly,TRUE
QNAIFE3O,8JYsNyZX,IVNvFqkz,Demonstrates how to back down a hall or out of a room,TRUE
F4HGQKQV,8JYsNyZX,IVNvFqkz,Demonstrates how to properly clean the roller,TRUE
M3KQUMBW,8JYsNyZX,IVNvFqkz,Has rolled a coat of sealer 3 times,TRUE
GK7K4269,8JYsNyZX,IVNvFqkz,Has rolled 1st coat of finish 3 times,TRUE
2YEI2FM3,8JYsNyZX,aUcOjURA,Can explain what batching stain is and why it needs to be done,TRUE
AF5RP4EF,8JYsNyZX,aUcOjURA,Demonstrates how to feather stain to avoid overlap mark,TRUE
NSM05UNF,8JYsNyZX,aUcOjURA,Understands buffer does walls 1st to avoid overlap marks,TRUE
VG3DD22D,8JYsNyZX,aUcOjURA,"Understands general movement through floor ""where to go next""",TRUE
OSXQI7F5,8JYsNyZX,aUcOjURA,Demonstrates applying a proper amount of material to rag/ sponge,TRUE
TUY3CHTJ,8JYsNyZX,aUcOjURA,Demonstrates how to aplly stain to edges by hand,TRUE
KO1FXP5D,8JYsNyZX,aUcOjURA,Demonstrates how to wipe stain off properly,TRUE
C6MCB9T5,8JYsNyZX,aUcOjURA,Demonstrates how to apply stain without getting on trim/ other non stain items,TRUE
YZ7HDX80,8JYsNyZX,DTnhrYFl,Demonstrates removing shoe with out damaging wall/trim,TRUE
C0THN83F,8JYsNyZX,DTnhrYFl,Demonstrates numbering and bundeling shoe,TRUE
JP5RR3YM,lq4mtIrq,Jc2ZE54P,"Can identify miter angles 22, 45, 90",TRUE
YDBLAG7N,lq4mtIrq,Jc2ZE54P,Demonstrates how to cut an inside miter,TRUE
7FHC9WGE,8JYsNyZX,DTnhrYFl,Demonstrates how to cut an outside miter,TRUE
H9W5UFT7,8JYsNyZX,DTnhrYFl,Demonstrates standard door removal,TRUE
4WGGLVY7,8JYsNyZX,DTnhrYFl,Demonstrates standard door installation,TRUE
DTARTE4C,8JYsNyZX,DTnhrYFl,Demonstrates bifold door removal,TRUE
4EX5FOKQ,8JYsNyZX,DTnhrYFl,Demonstrates bifold door installation,TRUE
QPKQ1MVO,lq4mtIrq,1DmB6lgI,Can identify proper vent size,TRUE
5SOF0MYC,lq4mtIrq,1DmB6lgI,Demonstrates how to lay out and mark vent location,TRUE
QSZ2HNJG,lq4mtIrq,1DmB6lgI,Demonstrates how to install a wood flush mount vent into an existing floor,TRUE
B5J25Y2P,lq4mtIrq,1DmB6lgI,Demonstrates how to install a wood flush mount vent into a new floor,TRUE
G5BNI2NR,y6ZXyYam,H55WxUFk,Demonstrates setting up air sled,TRUE
5EBPGI29,y6ZXyYam,H55WxUFk,Can explain the what white plastic pieces are for,TRUE
QT7LPS1M,y6ZXyYam,H55WxUFk,Demonstrates moving a fridge with air sled,TRUE
EBGESF1N,8JYsNyZX,o4Iw2Zba,Can explain when this sander should be used,TRUE
CJJSMOWT,y6ZXyYam,hKsfkYwk,Demonstrates putting sandpaper on properly,TRUE
9JO9YWKI,8JYsNyZX,o4Iw2Zba,Can identify where the edger cuts,TRUE
4D44PG7Z,y6ZXyYam,hKsfkYwk,Demonstrates adjusting wheels,TRUE
4JD6YONS,8JYsNyZX,o4Iw2Zba,Demonstrates how to flatten floor with 36/60,TRUE
31CJ08NG,8JYsNyZX,o4Iw2Zba,Can explain what the purpose of 80-100 grit sanding is for,TRUE
17XFOZZG,8JYsNyZX,o4Iw2Zba,Demonstrates removing scratch with 100 grit,TRUE
15MO9YMG,8JYsNyZX,o4Iw2Zba,Demonstrates how to sand parallel with the wall with minimal scratch,TRUE
NPBN4KVV,8JYsNyZX,o4Iw2Zba,Demonstrates how to feather an outside corner and not leave a ridge,TRUE
CJH3L8ZT,8JYsNyZX,o4Iw2Zba,Demonstrates how to sand perpendicular with the wall with minimal scratch,TRUE
J76FZ94Z,8JYsNyZX,OrFf5BQ7,Demonstrates how to remove cover of breaker panel,TRUE
X7519V88,8JYsNyZX,OrFf5BQ7,Can identify the neutral bus bar in panel,TRUE
WJJI24BF,8JYsNyZX,OrFf5BQ7,Can identify the ground bus bar in panel,TRUE
M8DI2PNA,8JYsNyZX,OrFf5BQ7,Can identify the hot bus bar in panel,TRUE
40EWJFXK,8JYsNyZX,OrFf5BQ7,Can explain identify the differences in breakers,TRUE
48M62KVG,8JYsNyZX,OrFf5BQ7,Can explain How to hook power up in a breaker panel,TRUE
ORH9DXTF,8JYsNyZX,OrFf5BQ7,Demonstrates how to safley remove a breaker,TRUE
A4119IIR,8JYsNyZX,OrFf5BQ7,Demonstrates how to install a new breaker,TRUE
4JC2LEBW,8JYsNyZX,OrFf5BQ7,Demonstrates hooking up sub-panel to breaker,TRUE
JPR45SPJ,8JYsNyZX,OrFf5BQ7,Demonstrates turning breaker and sub pannel on,TRUE
59SIDUZ9,8JYsNyZX,OrFf5BQ7,Can explain why and when to use booster box,TRUE
ZJIV3VZ6,8JYsNyZX,OrFf5BQ7,Demonstrates hooking up all cords to each machine from sub-panel,TRUE
BK4OUKE1,8JYsNyZX,OrFf5BQ7,Demonstrates diconecting power from panel,TRUE
21GDV1LY,8JYsNyZX,LKh05ag6,Understands when this sander should be used,TRUE
2OEHLHT5,y6ZXyYam,8c7b5bae,Demonstrates putting sandpaper on properly,TRUE
GISNDYDB,8JYsNyZX,LKh05ag6,Can identify where the edger cuts,TRUE
NBENRM2Y,y6ZXyYam,8c7b5bae,Demonstrates how to adjust wheels,TRUE
CX5OBU7T,8JYsNyZX,LKh05ag6,Demonstrates how to falten floor with 36/60,TRUE
MXBEVM6S,8JYsNyZX,LKh05ag6,Can explain what the purpose of 80-100 grit sanding is for,TRUE
NQCLSDCR,8JYsNyZX,LKh05ag6,Demonstrates removing scratch with 100 grit,TRUE
HBJO94SM,8JYsNyZX,LKh05ag6,Demonstrates how to sand parallel with the wall with minimal scratch,TRUE
JM03TR7L,8JYsNyZX,LKh05ag6,Demonstrates how to sand perpendicular with the wall with minimal scratch,TRUE
OT21R9M8,y6ZXyYam,8c7b5bae,Demonstrates how to adjust/tighten belt,TRUE
622LA1CE,y6ZXyYam,mvaMS4IU,Can explain when this sander should be used,TRUE
T0R9B6A1,y6ZXyYam,mvaMS4IU,Demonstrates putting sandpaper on properly,TRUE
QYA0YUI3,8JYsNyZX,5egAWOly,Can identify where the drum cuts,TRUE
LY2H1207,y6ZXyYam,mvaMS4IU,Demonstrates how to adjust drum pressure,TRUE
PH16HDOK,y6ZXyYam,mvaMS4IU,Demonstrates how to hook up dust collection and power to sander,TRUE
2UNUREXD,8JYsNyZX,5egAWOly,Demonstrates how to manage dust hose and power cord properly when alone,TRUE
RVEVJ0DK,8JYsNyZX,5egAWOly,Can explain when to ask for help managing cords and hoses,TRUE
S8R3D2D4,8JYsNyZX,5egAWOly,Demonstrates how to feather drum with out leaving a drum mark,TRUE
P8WDOE3S,8JYsNyZX,5egAWOly,Demonstrates how to stager in center of room,TRUE
Q6QDP5EW,8JYsNyZX,5egAWOly,Can identify and demonstrates how to remove a drum mark,TRUE
BA3JEMH4,8JYsNyZX,5egAWOly,Can identify and demonstrates how to remove a ridge,TRUE
DN5ZFV8W,8JYsNyZX,5egAWOly,Can explain why and demonstrates how to cut on an angle,TRUE
XXZ3O68X,8JYsNyZX,5egAWOly,Can identify and remove scratch patterns from the belt sander on all grits,TRUE
B1SMXPUY,8JYsNyZX,18JxK532,Can explain when and why this sander should be used,TRUE
C1FQDK07,y6ZXyYam,7a8214e2,Demonstrates putting sandpaper on properly line the holes up for dust collection,TRUE
XPOMX25G,8JYsNyZX,18JxK532,Can identify swirl marks and sctrach left from edger using a sanding light,TRUE
JK7TY4GL,8JYsNyZX,18JxK532,Demonstrates how to remove swirl marks,TRUE
ZEG6L12B,8JYsNyZX,18JxK532,Can explain the scratch levels expectations of natural  vs stain,TRUE
2CAW9ZJ0,8JYsNyZX,w0rAZkVr,Can explain when and why this sander should be used,TRUE
LQ5H4NQY,y6ZXyYam,892b7d74,Demonstrates putting sandpaper on properly,TRUE
VJI9RDG4,y6ZXyYam,892b7d74,Demonstrates putting different interface pads on the sander,TRUE
V56T9EC0,y6ZXyYam,892b7d74,Can list 3 different heads for the sander and their uses,TRUE
QKYH79MC,y6ZXyYam,892b7d74,Demonstrates installing and removing the planetary head on sander,TRUE
SCKHP1PA,y6ZXyYam,892b7d74,Demonstrates how to hook up power and dust collection,TRUE
4KRWF6D0,y6ZXyYam,892b7d74,Demonstrates how to adjust the handle,TRUE
J9SPO95S,8JYsNyZX,w0rAZkVr,Demonstrates how to clock the sander,TRUE
3NXAIM38,8JYsNyZX,wuKpcL6E,Can give 3 examples of uses of this sander,TRUE
L6QFY590,y6ZXyYam,wuKpcL6E,Demonstrates how to install a clutch plate,TRUE
0P4YWGYI,8JYsNyZX,wuKpcL6E,"Can list the uses, and demonstrates using a red pad",TRUE
VI9TCBDO,8JYsNyZX,wuKpcL6E,"Can list the uses, and demonstrates using a white pad",TRUE
3RRG0681,8JYsNyZX,wuKpcL6E,"Can list the uses, and demonstrates using a driver pad",TRUE
PAHRLI9B,8JYsNyZX,wuKpcL6E,"Can list the uses, and demonstrates using a marron pad with PSA paper",TRUE
VZLVU0QY,8JYsNyZX,wuKpcL6E,"Can list the uses, and demonstrates using a Diamabrush",TRUE
BRWQFYWD,8JYsNyZX,wuKpcL6E,Demonstrates cutting and using a carpet pad to apply stain without leaving heavy or light spots,TRUE
5FTHSC77,8JYsNyZX,wuKpcL6E,"Demonstrates control over buffer ""can maneuver easily""",TRUE
SYZ7PN4J,8JYsNyZX,wuKpcL6E,"Can explain the purpose, and demonstrates clocking the buffer",TRUE
JVRH4KWE,y6ZXyYam,5hcRbvnh,Demonstrates connecting power and assembling dust collection with separator,TRUE
RNJG6UJ5,y6ZXyYam,5hcRbvnh,Demonstrates emptying dust properly without making a mess,TRUE
4QQOZ8FU,y6ZXyYam,5hcRbvnh,Demonstrates cleaning the pleated filter,TRUE
S9JMBSHL,y6ZXyYam,5hcRbvnh,Can explain what hose's go to what machines,TRUE
C1P7KRDR,y6ZXyYam,5hcRbvnh,Can explain how and why to create proper suction on dust collection,TRUE
1OX1KKMP,8JYsNyZX,URQkKiX4,Demonstrates hand sanding with a block,TRUE
AUDY3TQB,8JYsNyZX,URQkKiX4,Can give 3 examples of where hand sanding should be preformed,TRUE
RAB6NAGO,8JYsNyZX,URQkKiX4,Demonstrates hand sanding 3 different areas,TRUE
RP6J3O7U,8JYsNyZX,pqGF3XS4,Can explain when and why this equipment should be used,TRUE
3KY7EPOB,y6ZXyYam,pqGF3XS4,Demonstrates rasing and lowering wheels,TRUE
FP0F3K7G,y6ZXyYam,pqGF3XS4,Can explain each switch function,TRUE
RUSGMRKN,y6ZXyYam,pqGF3XS4,Demonstrates how to properly adjust water flow,TRUE
7FP7ZK5J,y6ZXyYam,pqGF3XS4,Demonstrates filling with clean water and attaching to machine making sure it is seated properly,TRUE
RTCX3RW7,8JYsNyZX,pqGF3XS4,Can list the proper mix ratio and demonstrates mixing at least 2 different types of cleaners,TRUE
X5YGJY35,8JYsNyZX,pqGF3XS4,Demonstrates how to overlap passes,TRUE
XX1XFIOU,8JYsNyZX,pqGF3XS4,Demonstrates removing most of the water off the floor,TRUE
6CC2HLTH,y6ZXyYam,pqGF3XS4,"Can explain how to tell when to empty, and how to empty the dirty water tank",TRUE
CMC8VNO7,y6ZXyYam,pqGF3XS4,Demonstrates hooking up the wand and turning water off when wand is attached,TRUE
MRG732UP,8JYsNyZX,pqGF3XS4,Demonstrates how to properly clean the machine after use,TRUE
DRI2086G,8JYsNyZX,pqGF3XS4,Demonstrates how to properly load and secure equipment not to damage it,TRUE
YCJYY3CL,8JYsNyZX,Ixl0CN1T,Can show what a sharp/dull scraper looks like,TRUE
LTIWO528,8JYsNyZX,Ixl0CN1T,Demonstrates how to burr scaraper,TRUE
WZ3VYSTO,8JYsNyZX,Ixl0CN1T,Demonstrates how shape burr,TRUE
1rDGyY3J,8JYsNyZX,Ixl0CN1T,Demonstrates how to scrape coating with out damaging surface,TRUE
WKNxdhnI,8JYsNyZX,3XcqjAUc,Can explain why not to sharpen the scraper over a raw floor,TRUE
irePrvaV,8JYsNyZX,3XcqjAUc,Demonstrates how to sharpen scraper,TRUE
SOI6gRMe,8JYsNyZX,3XcqjAUc,Demonstrates how scrape corners,TRUE
5Ce8YxwK,8JYsNyZX,3XcqjAUc,Demonstrates how scrape casings,TRUE
0hDpr60r,8JYsNyZX,3XcqjAUc,Demonstrates how scrape under nosings,TRUE
nBDwFMjU,8JYsNyZX,u8Gm578Y,Demonstrates how to spot fill,TRUE
WHDmqhlk,8JYsNyZX,u8Gm578Y,Demonstrates how to full trowel fill,TRUE
Ms5Td1BQ,8JYsNyZX,u8Gm578Y,Demonstrates how to spread oil with precision and no mess,TRUE
75AA04AC,mnH38tQ0,60c96f41,Demonstrates how to prepare a tread with a return to be finished,TRUE
73950B84,mnH38tQ0,qeQ61e4G,Demonstrates how to run treads through drum sander,TRUE
96D31BFB,lq4mtIrq,RoVTI7IZ,"Demonstrates how to cut, remove and manage carpet in 4ft lengths",TRUE
FCD82D4C,lq4mtIrq,RoVTI7IZ,Demonstrates how to remove staples and tack strips and roll tack strips into carpet for disposal,TRUE
329F3618,y6ZXyYam,d0e51935,Can explain what the smallest width board you can rip on a table saw with out a push stick is,TRUE
2EA0B671,y6ZXyYam,8RQWGvmI,demonstrates adjusting psi to a tool,TRUE
C0BF198D,y6ZXyYam,AuenW7Lv,Demonstrates how to set miter saw up on stand and dust collection,TRUE
4C774664,y6ZXyYam,d0e51935,Demonstrates proper arm placement when using  a miter saw,TRUE
E805D5FF,y6ZXyYam,AuenW7Lv,Demonstrates how to slide saw while cutting properly,TRUE
ACDBA6B4,y6ZXyYam,AuenW7Lv,Demonstrates how to adjust the miter angle,TRUE
D9C535D6,y6ZXyYam,AuenW7Lv,Demonstrates how to adjust the bevel of the saw,TRUE
0EC2BE65,y6ZXyYam,AuenW7Lv,Demonstrates how to adjust the depth setting to not cut through a board,TRUE
9A578FFA,y6ZXyYam,p1tfKPMt,"Demonstrates  safe setup on flat, stable surface and hook up dust collection",TRUE
CEB3E96D,y6ZXyYam,p1tfKPMt,Demonstrates how to set blade height correctly,TRUE
B0F6BA2A,y6ZXyYam,p1tfKPMt,Demonstrates how to change the saw blade,TRUE
B9BA6A5A,y6ZXyYam,d0e51935,Demonstrates proper placement of hands when using table saw,TRUE
F28F5DDE,y6ZXyYam,p1tfKPMt,Demonstrates how to square and lock the fence,TRUE
8DFD1233,y6ZXyYam,p1tfKPMt,Demonstrates how to rip a board using miter fence,TRUE
55C1A42E,y6ZXyYam,p1tfKPMt,"Demonstrates how to rip a board without using miter fence ""how to free hand and flip""",TRUE
FEA67BF3,y6ZXyYam,p1tfKPMt,Demonstrates how to adjust bevel angle and make bevel cuts,TRUE
2DA8CCA6,y6ZXyYam,8RQWGvmI,can explain why some tools need different PSI and can give an example,TRUE
CD641DBE,y6ZXyYam,8RQWGvmI,"Demonstrates how to set up air compressor ""check oil"" make sure its not leaking oil",TRUE
3E3D011C,y6ZXyYam,8RQWGvmI,Demonstrates how to empty water out of tank and can explain how often it should be done,TRUE
3D6522F9,y6ZXyYam,dwLOfAHh,Demonstrates how to adjust base plate shoe for board thickness (if adjustable),TRUE
CA01467D,y6ZXyYam,dwLOfAHh,Demonstrates how to load staples correctly and identify when the magazine is empty,TRUE
9C460226,y6ZXyYam,dwLOfAHh,Demonstrates striking technique with mallet for consistent fastener seating,TRUE
A3D697C3,lq4mtIrq,zZPZD2B1,Demonstrates correct placement of fastener on board tongue (avoid splitting),TRUE
E1520AE5,y6ZXyYam,dwLOfAHh,Demonstrates how to handle jams and perform tool maintenance,TRUE
2F12CD2C,y6ZXyYam,7w84wGK9,Demonstrates how to safely install and tighten blade,TRUE
0EAF5E7A,y6ZXyYam,7w84wGK9,Demonstrates how to plunge cut accurately and reduce burning,TRUE
E68A857F,y6ZXyYam,7w84wGK9,Demonstrates control of the tool during use (no bouncing or overcutting),TRUE
2B3D596D,y6ZXyYam,Vm0bDEad,"Demonstrates hitting a joist and missing a joist, and can identify each",TRUE
FBF5EAF4,y6ZXyYam,Vm0bDEad,Demonstrates how to load the screw strip properly into the feed system,TRUE
9DC2353D,y6ZXyYam,Vm0bDEad,Demonstrates how to set and adjust screw depth using the tool’s depth setting,TRUE
2BCB4D0B,y6ZXyYam,Vm0bDEad,Demonstrates how to switch bits or attachments if worn or damaged,TRUE
CF059047,y6ZXyYam,Vm0bDEad,Demonstrates consistent screw spacing and fastening pattern across panel seams,TRUE
8750FACB,lq4mtIrq,OuwjWnon,Can explain how to inspect the substrate and identify high spots or low spots needing correction,TRUE
C452A471,y6ZXyYam,4HHiYc8N,can explain and demonstrates dust control requirements and connection to vacuum system,TRUE
F8413FD1,y6ZXyYam,4HHiYc8N,Demonstrates how to inspect and install the diamond cup wheel securely,TRUE
D9A79044,y6ZXyYam,4HHiYc8N,"Demonstrates how to safely start, handle, and stop the grinder",TRUE
6C27A65E,y6ZXyYam,4HHiYc8N,Demonstrates how to maintain consistent pressure and movement to avoid gouging the surface,TRUE
074A4E6C,y6ZXyYam,4HHiYc8N,Demonstrates how to verify flatness after grinding,TRUE
AAEC8564,y6ZXyYam,4HHiYc8N,Demonstrates how to clean and maintain grinder and vacuum components after use,TRUE
041DB97D,y6ZXyYam,IvLN5Yjj,Can List three applications for this nailer,TRUE
E18393BE,y6ZXyYam,IvLN5Yjj,Demonstrates how to nail on the tongue,TRUE
2CDB305F,y6ZXyYam,IvLN5Yjj,Demonstrates how to load nails and check magazine for jams,TRUE
2B826BA3,y6ZXyYam,IvLN5Yjj,Demonstrates how to adjust depth dial,TRUE
1FF073AA,lq4mtIrq,zZPZD2B1,Demonstrates how to top nail while hiding nail hole in the grain,TRUE
9F824623,y6ZXyYam,IvLN5Yjj,Demonstrates how to clear misfires and perform basic maintenance,TRUE
0A683C23,y6ZXyYam,ITy6b1Yo,Can List two different applications for this nailer?,TRUE
0D6C3A94,y6ZXyYam,ITy6b1Yo,Demonstrates how to load brads and check magazine for jams,TRUE
175CB2F9,y6ZXyYam,ITy6b1Yo,Demonstrates how to adjust depth dial,TRUE
91C326D3,lq4mtIrq,zZPZD2B1,Can explain how to avoid splitting materials,TRUE
783DE8E3,y6ZXyYam,PNsHlFI3,"Demonstrates how to load pin nails into the magazine ""facing the right way""",TRUE
0B811D08,y6ZXyYam,m5QjJdsc,Demonstrates how to load cleats correctly and identify when the magazine is empty,TRUE
42BAFE6A,y6ZXyYam,m5QjJdsc,Demonstrates how to position nailer accurately on the tongue,TRUE
08274F1F,y6ZXyYam,m5QjJdsc,Demonstrates striking technique with mallet for consistent fastener seating,TRUE
6562B6CA,y6ZXyYam,m5QjJdsc,Demonstrates how to handle jams and perform tool maintenance,TRUE
81595090,y6ZXyYam,kOCN2ZqG,can list 3 appropriate applications for this saw,TRUE
78A867AE,y6ZXyYam,kOCN2ZqG,"Demonstrates how to align track for accurate, splinter-free cuts along layout marks",TRUE
BFBF84F0,y6ZXyYam,kOCN2ZqG,Demonstrates securing the track to prevent shifting during the cut,TRUE
1D1616FD,y6ZXyYam,kOCN2ZqG,Demonstrates how to change the saw blade,TRUE
0095F0FB,y6ZXyYam,kOCN2ZqG,Can list the parts to check on the saw before use to insure the saw is in good working order,TRUE
56AC03A4,y6ZXyYam,SRdgJTrq,can explain appropriate applications for this saw,TRUE
21B16913,y6ZXyYam,SRdgJTrq,can explain limitations in cut accuracy compared to other saw types,TRUE
FC99CB8E,y6ZXyYam,HPhf0Y8d,Can explain the different router types and when to use each. Can explain common flooring applications for this equipment,TRUE
19752CE9,y6ZXyYam,HPhf0Y8d,Understands bit types and how to select the correct bit for the task,TRUE
6C05DFBD,y6ZXyYam,HPhf0Y8d,Can explain depth-of-cut limits to avoid burning or tear-out,TRUE
6D571402,y6ZXyYam,d0e51935,Demonstrates how to safely install and remove router bits,TRUE
9A8BE844,y6ZXyYam,HPhf0Y8d,Demonstrates how to set cutting depth and lock base properly,TRUE
A9F421FF,y6ZXyYam,HPhf0Y8d,Demonstrates how to move router with consistent speed and direction for clean edges,TRUE
